Product_ID,Product_Name,Category,Country_of_Origin,Compliance_Status,Regulatory_Document,Review_Date,Reviewer_Name,Priority,Days_To_Review,Price_INR,Notes
PROD001,OnePlus 11R 5G 128GB,Electronics,India,Approved,BIS,19-11-2025,Priya Sharma,Low,7,34999,Documentation complete
PROD002,OnePlus Nord CE3 Lite 5G,Electronics,India,Approved,BIS,20-11-2025,Rajesh Kumar,Low,5,19999,Documentation complete
PROD003,boAt Airdopes 131 TWS,Electronics,India,Pending Review,BIS,21-11-2025,Sneha Patel,High,18,1299,Battery certification required
PROD004,boAt Rockerz 450 Bluetooth,Electronics,India,Approved,BIS,22-11-2025,Amit Singh,Low,6,1499,Documentation complete
PROD005,boAt Stone 352 Bluetooth Spkr,Electronics,India,Re-submission Required,BIS,23-11-2025,Kavita Reddy,High,22,1799,Barcode format incorrect
PROD006,Noise ColorFit Pro 4 Watch,Electronics,India,Pending Review,BIS,24-11-2025,Priya Sharma,High,14,2499,Testing report pending from lab
PROD007,Noise Buds VS104 TWS,Electronics,India,Approved,BIS,25-11-2025,Rajesh Kumar,Low,4,999,Documentation complete
PROD008,Portronics SoundDrum Speaker,Electronics,India,Rejected,BIS,26-11-2025,Sneha Patel,High,25,899,Packaging does not meet BIS standards
PROD009,Realme Narzo 60 5G 128GB,Electronics,India,Approved,BIS,27-11-2025,Amit Singh,Medium,8,17999,Documentation complete
PROD010,Realme 11 Pro Plus 5G,Electronics,India,Pending Review,BIS,28-11-2025,Kavita Reddy,High,11,27999,Label missing manufacturing date
PROD011,Mi Power Bank 3i 20000mAh,Electronics,India,Approved,BIS,29-11-2025,Priya Sharma,Low,6,1799,Documentation complete
PROD012,Mi Smart Band 7 Fitness Tracker,Electronics,India,Rejected,BIS,30-11-2025,Rajesh Kumar,High,20,2799,MRP not printed correctly
PROD013,pTron Bassbuds Duo Earbuds,Electronics,India,Approved,BIS,01-12-2025,Sneha Patel,Low,5,699,Documentation complete
PROD014,pTron Force X11 Smartwatch,Electronics,India,Re-submission Required,BIS,02-12-2025,Amit Singh,Medium,19,1299,Certification expired - renewal needed
PROD015,Fire-Boltt Phoenix Smart Watch,Electronics,India,Approved,BIS,03-12-2025,Kavita Reddy,Low,7,1399,Documentation complete
PROD016,Fire-Boltt Ninja Call Pro Plus,Electronics,India,Pending Review,BIS,04-12-2025,Priya Sharma,Medium,12,1699,Import duty classification unclear
PROD017,Ambrane 10000mAh Power Bank,Electronics,India,Approved,BIS,05-12-2025,Rajesh Kumar,Low,4,699,Documentation complete
PROD018,Syska 20W Fast Charger,Electronics,India,Rejected,BIS,06-12-2025,Sneha Patel,High,16,399,Product dimensions mismatch
PROD019,Crossbeats Pebble Earbuds,Electronics,India,Approved,BIS,07-12-2025,Amit Singh,Low,6,1199,Documentation complete
PROD020,Zebronics Zeb-Thunder Headphone,Electronics,India,Pending Review,BIS,08-12-2025,Kavita Reddy,Medium,10,799,Testing report pending from lab
PROD021,Intex 2.1 Channel Speaker,Electronics,India,Approved,BIS,09-12-2025,Priya Sharma,Low,8,2499,Documentation complete
PROD022,Micromax IN Note 2 64GB,Electronics,India,Re-submission Required,BIS,10-12-2025,Rajesh Kumar,High,24,12499,Trademark verification pending
PROD023,Lava Blaze 5G 128GB,Electronics,India,Approved,BIS,11-12-2025,Sneha Patel,Low,9,10999,Documentation complete
PROD024,Havells 1200mm Ceiling Fan,Electronics,India,Approved,BIS,12-12-2025,Amit Singh,Low,5,1899,Documentation complete
